header:
  x % 601   x % 443    x % 41    x % 37    x % 29    x % 23    x % 19    x % 17    x % 13         x
      564        44        37        30        23        20         2        13         2     39028 
      564       202        23         2        15         0        14         2         5     39629 
      564       360         9        11         7         3         7         8         8     40230 
      564        75        36        20        28         6         0        14        11     40831 
      564       233        22        29        20         9        12         3         1     41432 
      564       391         8         1        12        12         5         9         4     42033 
      564       106        35        10         4        15        17        15         7     42634 
      564       264        21        19        25        18        10         4        10     43235 
      564       422         7        28        17        21         3        10         0     43836 
      564       137        34         0         9         1        15        16         3     44437 
      564       295        20         9         1         4         8         5         6     45038 
      564        10         6        18        22         7         1        11         9     45639 
      564       168        33        27        14        10        13         0        12     46240 
      564       326        19        36         6        13         6         6         2     46841 
      564        41         5         8        27        16        18        12         5     47442 
      564       199        32        17        19        19        11         1         8     48043 
      564       357        18        26        11        22         4         7        11     48644 
      564        72         4        35         3         2        16        13         1     49245 
      564       230        31         7        24         5         9         2         4     49846 
      564       388        17        16        16         8         2         8         7     50447 
      564       103         3        25         8        11        14        14        10     51048 
      564       261        30        34         0        14         7         3         0     51649 
      564       419        16         6        21        17         0         9         3     52250 
      564       134         2        15        13        20        12        15         6     52851 
      564       292        29        24         5         0         5         4         9     53452 
      564         7        15        33        26         3        17        10        12     54053 
      564       165         1         5        18         6        10        16         2     54654 
      564       323        28        14        10         9         3         5         5     55255 
      564        38        14        23         2        12        15        11         8     55856 
      564       196         0        32        23        15         8         0        11     56457 
      564       354        27         4        15        18         1         6         1     57058 
      564        69        13        13         7        21        13        12         4     57659 
      564       227        40        22        28         1         6         1         7     58260 
      564       385        26        31        20         4        18         7        10     58861 
      564       100        12         3        12         7        11        13         0     59462 
      564       258        39        12         4        10         4         2         3     60063 
      564       416        25        21        25        13        16         8         6     60664 
      564       131        11        30        17        16         9        14         9     61265 
      564       289        38         2         9        19         2         3        12     61866 
      564         4        24        11         1        22        14         9         2     62467 
      564       162        10        20        22         2         7        15         5     63068 
      564       320        37        29        14         5         0         4         8     63669 
      564        35        23         1         6         8        12        10        11     64270 
      564       193         9        10        27        11         5        16         1     64871 
      564       351        36        19        19        14        17         5         4     65472 
      564        66        22        28        11        17        10        11         7     66073 
      564       224         8         0         3        20         3         0        10     66674 
      564       382        35         9        24         0        15         6         0     67275 
      564        97        21        18        16         3         8        12         3     67876 
      564       255         7        27         8         6         1         1         6     68477 
      564       413        34        36         0         9        13         7         9     69078 
      564       128        20         8        21        12         6        13        12     69679 
      564       286         6        17        13        15        18         2         2     70280 
      564         1        33        26         5        18        11         8         5     70881 
      564       159        19        35        26        21         4        14         8     71482 
      564       317         5         7        18         1        16         3        11     72083 
      564        32        32        16        10         4         9         9         1     72684 
      564       190        18        25         2         7         2        15         4     73285 
      564       348         4        34        23        10        14         4         7     73886 
      564        63        31         6        15        13         7        10        10     74487 
      564       221        17        15         7        16         0        16         0     75088 
      564       379         3        24        28        19        12         5         3     75689 
      564        94        30        33        20        22         5        11         6     76290 
      564       252        16         5        12         2        17         0         9     76891 
      564       410         2        14         4         5        10         6        12     77492 
      564       125        29        23        25         8         3        12         2     78093 
      564       283        15        32        17        11        15         1         5     78694 
      564       441         1         4         9        14         8         7         8     79295 
      564       156        28        13         1        17         1        13        11     79896 
      564       314        14        22        22        20        13         2         1     80497 
      564        29         0        31        14         0         6         8         4     81098 
      564       187        27         3         6         3        18        14         7     81699 
      564       345        13        12        27         6        11         3        10     82300 
      564        60        40        21        19         9         4         9         0     82901 
      564       218        26        30        11        12        16        15         3     83502 
      564       376        12         2         3        15         9         4         6     84103 
      564        91        39        11        24        18         2        10         9     84704 
      564       249        25        20        16        21        14        16        12     85305 
      564       407        11        29         8         1         7         5         2     85906 
      564       122        38         1         0         4         0        11         5     86507 
      564       280        24        10        21         7        12         0         8     87108 
      564       438        10        19        13        10         5         6        11     87709 
      564       153        37        28         5        13        17        12         1     88310 
      564       311        23         0        26        16        10         1         4     88911 
      564        26         9         9        18        19         3         7         7     89512 
      564       184        36        18        10        22        15        13        10     90113 
      564       342        22        27         2         2         8         2         0     90714 
      564        57         8        36        23         5         1         8         3     91315 
      564       215        35         8        15         8        13        14         6     91916 
      564       373        21        17         7        11         6         3         9     92517 
      564        88         7        26        28        14        18         9        12     93118 
      564       246        34        35        20        17        11        15         2     93719 
      564       404        20         7        12        20         4         4         5     94320 
      564       119         6        16         4         0        16        10         8     94921 
      564       277        33        25        25         3         9        16        11     95522 
      564       435        19        34        17         6         2         5         1     96123 
      564       150         5         6         9         9        14        11         4     96724 
      564       308        32        15         1        12         7         0         7     97325 
      564        23        18        24        22        15         0         6        10     97926 
      564       181         4        33        14        18        12        12         0     98527 
      564       339        31         5         6        21         5         1         3     99128 
      564        54        17        14        27         1        17         7         6     99729 
      564       212         3        23        19         4        10        13         9    100330 
      564       370        30        32        11         7         3         2        12    100931 
      564        85        16         4         3        10        15         8         2    101532 
      564       243         2        13        24        13         8        14         5    102133 
      564       401        29        22        16        16         1         3         8    102734 
      564       116        15        31         8        19        13         9        11    103335 
      564       274         1         3         0        22         6        15         1    103936 
      564       432        28        12        21         2        18         4         4    104537 
      564       147        14        21        13         5        11        10         7    105138 
      564       305         0        30         5         8         4        16        10    105739 
      564        20        27         2        26        11        16         5         0    106340 
      564       178        13        11        18        14         9        11         3    106941 
      564       336        40        20        10        17         2         0         6    107542 
      564        51        26        29         2        20        14         6         9    108143 
      564       209        12         1        23         0         7        12        12    108744 
      564       367        39        10        15         3         0         1         2    109345 
      564        82        25        19         7         6        12         7         5    109946 
      564       240        11        28        28         9         5        13         8    110547 
      564       398        38         0        20        12        17         2        11    111148 
      564       113        24         9        12        15        10         8         1    111749 
      564       271        10        18         4        18         3        14         4    112350 
      564       429        37        27        25        21        15         3         7    112951 
      564       144        23        36        17         1         8         9        10    113552 
      564       302         9         8         9         4         1        15         0    114153 
      564        17        36        17         1         7        13         4         3    114754 
      564       175        22        26        22        10         6        10         6    115355 
      564       333         8        35        14        13        18        16         9    115956 
      564        48        35         7         6        16        11         5        12    116557 
      564       206        21        16        27        19         4        11         2    117158 
      564       364         7        25        19        22        16         0         5    117759 
      564        79        34        34        11         2         9         6         8    118360 
      564       237        20         6         3         5         2        12        11    118961 
      564       395         6        15        24         8        14         1         1    119562 
      564       110        33        24        16        11         7         7         4    120163 
      564       268        19        33         8        14         0        13         7    120764 
      564       426         5         5         0        17        12         2        10    121365 
      564       141        32        14        21        20         5         8         0    121966 
      564       299        18        23        13         0        17        14         3    122567 
      564        14         4        32         5         3        10         3         6    123168 
      564       172        31         4        26         6         3         9         9    123769 
      564       330        17        13        18         9        15        15        12    124370 
      564        45         3        22        10        12         8         4         2    124971 
      564       203        30        31         2        15         1        10         5    125572 
      564       361        16         3        23        18        13        16         8    126173 
      564        76         2        12        15        21         6         5        11    126774 
      564       234        29        21         7         1        18        11         1    127375 
      564       392        15        30        28         4        11         0         4    127976 
      564       107         1         2        20         7         4         6         7    128577 
      564       265        28        11        12        10        16        12        10    129178 
      564       423        14        20         4        13         9         1         0    129779 
      564       138         0        29        25        16         2         7         3    130380 
      564       296        27         1        17        19        14        13         6    130981 
      564        11        13        10         9        22         7         2         9    131582 
      564       169        40        19         1         2         0         8        12    132183 
      564       327        26        28        22         5        12        14         2    132784 
      564        42        12         0        14         8         5         3         5    133385 
      564       200        39         9         6        11        17         9         8    133986 
      564       358        25        18        27        14        10        15        11    134587 
      564        73        11        27        19        17         3         4         1    135188 
      564       231        38        36        11        20        15        10         4    135789 
      564       389        24         8         3         0         8        16         7    136390 
      564       104        10        17        24         3         1         5        10    136991 
      564       262        37        26        16         6        13        11         0    137592 
      564       420        23        35         8         9         6         0         3    138193 
      564       135         9         7         0        12        18         6         6    138794 
      564       293        36        16        21        15        11        12         9    139395 
      564         8        22        25        13        18         4         1        12    139996 
      564       166         8        34         5        21        16         7         2    140597 
      564       324        35         6        26         1         9        13         5    141198 
      564        39        21        15        18         4         2         2         8    141799 
      564       197         7        24        10         7        14         8        11    142400 
      564       355        34        33         2        10         7        14         1    143001 
      564        70        20         5        23        13         0         3         4    143602 
      564       228         6        14        15        16        12         9         7    144203 
      564       386        33        23         7        19         5        15        10    144804 
      564       101        19        32        28        22        17         4         0    145405 
      564       259         5         4        20         2        10        10         3    146006 
      564       417        32        13        12         5         3        16         6    146607 
      564       132        18        22         4         8        15         5         9    147208 
      564       290         4        31        25        11         8        11        12    147809 
      564         5        31         3        17        14         1         0         2    148410 
      564       163        17        12         9        17        13         6         5    149011 
      564       321         3        21         1        20         6        12         8    149612 
      564        36        30        30        22         0        18         1        11    150213 
      564       194        16         2        14         3        11         7         1    150814 
      564       352         2        11         6         6         4        13         4    151415 
      564        67        29        20        27         9        16         2         7    152016 
      564       225        15        29        19        12         9         8        10    152617 
      564       383         1         1        11        15         2        14         0    153218 
      564        98        28        10         3        18        14         3         3    153819 
      564       256        14        19        24        21         7         9         6    154420 
      564       414         0        28        16         1         0        15         9    155021 
      564       129        27         0         8         4        12         4        12    155622 
      564       287        13         9         0         7         5        10         2    156223 
      564         2        40        18        21        10        17        16         5    156824 
      564       160        26        27        13        13        10         5         8    157425 
      564       318        12        36         5        16         3        11        11    158026 
      564        33        39         8        26        19        15         0         1    158627 
      564       191        25        17        18        22         8         6         4    159228 
      564       349        11        26        10         2         1        12         7    159829 
      564        64        38        35         2         5        13         1        10    160430 
      564       222        24         7        23         8         6         7         0    161031 
      564       380        10        16        15        11        18        13         3    161632 
      564        95        37        25         7        14        11         2         6    162233 
      564       253        23        34        28        17         4         8         9    162834 
      564       411         9         6        20        20        16        14        12    163435 
      564       126        36        15        12         0         9         3         2    164036 
      564       284        22        24         4         3         2         9         5    164637 
      564       442         8        33        25         6        14        15         8    165238 
      564       157        35         5        17         9         7         4        11    165839 
      564       315        21        14         9        12         0        10         1    166440 
      564        30         7        23         1        15        12        16         4    167041 
      564       188        34        32        22        18         5         5         7    167642 
      564       346        20         4        14        21        17        11        10    168243 
      564        61         6        13         6         1        10         0         0    168844 
      564       219        33        22        27         4         3         6         3    169445 
      564       377        19        31        19         7        15        12         6    170046 
      564        92         5         3        11        10         8         1         9    170647 
      564       250        32        12         3        13         1         7        12    171248 
      564       408        18        21        24        16        13        13         2    171849 
      564       123         4        30        16        19         6         2         5    172450 
      564       281        31         2         8        22        18         8         8    173051 
      564       439        17        11         0         2        11        14        11    173652 
      564       154         3        20        21         5         4         3         1    174253 
      564       312        30        29        13         8        16         9         4    174854 
      564        27        16         1         5        11         9        15         7    175455 
      564       185         2        10        26        14         2         4        10    176056 
      564       343        29        19        18        17        14        10         0    176657 
      564        58        15        28        10        20         7        16         3    177258 
      564       216         1         0         2         0         0         5         6    177859 
      564       374        28         9        23         3        12        11         9    178460 
      564        89        14        18        15         6         5         0        12    179061 
      564       247         0        27         7         9        17         6         2    179662 
      564       405        27        36        28        12        10        12         5    180263 
      564       120        13         8        20        15         3         1         8    180864 
      564       278        40        17        12        18        15         7        11    181465 
      564       436        26        26         4        21         8        13         1    182066 
      564       151        12        35        25         1         1         2         4    182667 
      564       309        39         7        17         4        13         8         7    183268 
      564        24        25        16         9         7         6        14        10    183869 
      564       182        11        25         1        10        18         3         0    184470 
      564       340        38        34        22        13        11         9         3    185071 
      564        55        24         6        14        16         4        15         6    185672 
      564       213        10        15         6        19        16         4         9    186273 
      564       371        37        24        27        22         9        10        12    186874 
      564        86        23        33        19         2         2        16         2    187475 
      564       244         9         5        11         5        14         5         5    188076 
      564       402        36        14         3         8         7        11         8    188677 
      564       117        22        23        24        11         0         0        11    189278 
      564       275         8        32        16        14        12         6         1    189879 
      564       433        35         4         8        17         5        12         4    190480 
      564       148        21        13         0        20        17         1         7    191081 
      564       306         7        22        21         0        10         7        10    191682 
      564        21        34        31        13         3         3        13         0    192283 
      564       179        20         3         5         6        15         2         3    192884 
      564       337         6        12        26         9         8         8         6    193485 
      564        52        33        21        18        12         1        14         9    194086 
      564       210        19        30        10        15        13         3        12    194687 
      564       368         5         2         2        18         6         9         2    195288 
      564        83        32        11        23        21        18        15         5    195889 
      564       241        18        20        15         1        11         4         8    196490 
      564       399         4        29         7         4         4        10        11    197091 
      564       114        31         1        28         7        16        16         1    197692 
      564       272        17        10        20        10         9         5         4    198293 
      564       430         3        19        12        13         2        11         7    198894 
      564       145        30        28         4        16        14         0        10    199495 
      564       303        16         0        25        19         7         6         0    200096 
      564        18         2         9        17        22         0        12         3    200697 
      564       176        29        18         9         2        12         1         6    201298 
      564       334        15        27         1         5         5         7         9    201899 
      564        49         1        36        22         8        17        13        12    202500 
      564       207        28         8        14        11        10         2         2    203101 
      564       365        14        17         6        14         3         8         5    203702 
      564        80         0        26        27        17        15        14         8    204303 
      564       238        27        35        19        20         8         3        11    204904 
      564       396        13         7        11         0         1         9         1    205505 
      564       111        40        16         3         3        13        15         4    206106 
      564       269        26        25        24         6         6         4         7    206707 
      564       427        12        34        16         9        18        10        10    207308 
      564       142        39         6         8        12        11        16         0    207909 
      564       300        25        15         0        15         4         5         3    208510 
      564        15        11        24        21        18        16        11         6    209111 
      564       173        38        33        13        21         9         0         9    209712 
      564       331        24         5         5         1         2         6        12    210313 
      564        46        10        14        26         4        14        12         2    210914 
      564       204        37        23        18         7         7         1         5    211515 
      564       362        23        32        10        10         0         7         8    212116 
      564        77         9         4         2        13        12        13        11    212717 
      564       235        36        13        23        16         5         2         1    213318 
      564       393        22        22        15        19        17         8         4    213919 
      564       108         8        31         7        22        10        14         7    214520 
      564       266        35         3        28         2         3         3        10    215121 
      564       424        21        12        20         5        15         9         0    215722 
      564       139         7        21        12         8         8        15         3    216323 
      564       297        34        30         4        11         1         4         6    216924 
      564        12        20         2        25        14        13        10         9    217525 
      564       170         6        11        17        17         6        16        12    218126 
      564       328        33        20         9        20        18         5         2    218727 
      564        43        19        29         1         0        11        11         5    219328 
      564       201         5         1        22         3         4         0         8    219929 
      564       359        32        10        14         6        16         6        11    220530 
      564        74        18        19         6         9         9        12         1    221131 
      564       232         4        28        27        12         2         1         4    221732 
      564       390        31         0        19        15        14         7         7    222333 
      564       105        17         9        11        18         7        13        10    222934 
      564       263         3        18         3        21         0         2         0    223535 
      564       421        30        27        24         1        12         8         3    224136 
      564       136        16        36        16         4         5        14         6    224737 
      564       294         2         8         8         7        17         3         9    225338 
      564         9        29        17         0        10        10         9        12    225939 
      564       167        15        26        21        13         3        15         2    226540 
      564       325         1        35        13        16        15         4         5    227141 
      564        40        28         7         5        19         8        10         8    227742 
      564       198        14        16        26        22         1        16        11    228343 
      564       356         0        25        18         2        13         5         1    228944 
      564        71        27        34        10         5         6        11         4    229545 
      564       229        13         6         2         8        18         0         7    230146 
      564       387        40        15        23        11        11         6        10    230747 
      564       102        26        24        15        14         4        12         0    231348 
      564       260        12        33         7        17        16         1         3    231949 
      564       418        39         5        28        20         9         7         6    232550 
      564       133        25        14        20         0         2        13         9    233151 
      564       291        11        23        12         3        14         2        12    233752 
      564         6        38        32         4         6         7         8         2    234353 
      564       164        24         4        25         9         0        14         5    234954 
      564       322        10        13        17        12        12         3         8    235555 
      564        37        37        22         9        15         5         9        11    236156 
      564       195        23        31         1        18        17        15         1    236757 
      564       353         9         3        22        21        10         4         4    237358 
      564        68        36        12        14         1         3        10         7    237959 
      564       226        22        21         6         4        15        16        10    238560 
      564       384         8        30        27         7         8         5         0    239161 
      564        99        35         2        19        10         1        11         3    239762 
      564       257        21        11        11        13        13         0         6    240363 
      564       415         7        20         3        16         6         6         9    240964 
      564       130        34        29        24        19        18        12        12    241565 
      564       288        20         1        16        22        11         1         2    242166 
      564         3         6        10         8         2         4         7         5    242767 
      564       161        33        19         0         5        16        13         8    243368 
      564       319        19        28        21         8         9         2        11    243969 
      564        34         5         0        13        11         2         8         1    244570 
      564       192        32         9         5        14        14        14         4    245171 
      564       350        18        18        26        17         7         3         7    245772 
      564        65         4        27        18        20         0         9        10    246373 
      564       223        31        36        10         0        12        15         0    246974 
      564       381        17         8         2         3         5         4         3    247575 
      564        96         3        17        23         6        17        10         6    248176 
      564       254        30        26        15         9        10        16         9    248777 
      564       412        16        35         7        12         3         5        12    249378 
      564       127         2         7        28        15        15        11         2    249979 
      564       285        29        16        20        18         8         0         5    250580 
      564         0        15        25        12        21         1         6         8    251181 
      564       158         1        34         4         1        13        12        11    251782 
      564       316        28         6        25         4         6         1         1    252383 
      564        31        14        15        17         7        18         7         4    252984 
      564       189         0        24         9        10        11        13         7    253585 
      564       347        27        33         1        13         4         2        10    254186 
      564        62        13         5        22        16        16         8         0    254787 
      564       220        40        14        14        19         9        14         3    255388 
      564       378        26        23         6        22         2         3         6    255989 
      564        93        12        32        27         2        14         9         9    256590 
      564       251        39         4        19         5         7        15        12    257191 
      564       409        25        13        11         8         0         4         2    257792 
      564       124        11        22         3        11        12        10         5    258393 
      564       282        38        31        24        14         5        16         8    258994 
      564       440        24         3        16        17        17         5        11    259595 
      564       155        10        12         8        20        10        11         1    260196 
      564       313        37        21         0         0         3         0         4    260797 
      564        28        23        30        21         3        15         6         7    261398 
      564       186         9         2        13         6         8        12        10    261999 
      564       344        36        11         5         9         1         1         0    262600 
      564        59        22        20        26        12        13         7         3    263201 
      564       217         8        29        18        15         6        13         6    263802 
      564       375        35         1        10        18        18         2         9    264403  # hit
      564       375        24        29         4        13        14         8        12    530646 
      564       375        13        20        27         8        10        14         2    796889 
      564       375         2        11        21         3         6         3         5   1063132 
      564       375        32         2        15        21         2         9         8   1329375 
      564       375        21        30         9        16        17        15        11   1595618 
      564       375        10        21         3        11        13         4         1   1861861 
      564       375        40        12        26         6         9        10         4   2128104 
      564       375        29         3        20         1         5        16         7   2394347 
      564       375        18        31        14        19         1         5        10   2660590 
      564       375         7        22         8        14        16        11         0   2926833 
      564       375        37        13         2         9        12         0         3   3193076 
      564       375        26         4        25         4         8         6         6   3459319 
      564       375        15        32        19        22         4        12         9   3725562 
      564       375         4        23        13        17         0         1        12   3991805 
      564       375        34        14         7        12        15         7         2   4258048 
      564       375        23         5         1         7        11        13         5   4524291 
      564       375        12        33        24         2         7         2         8   4790534 
      564       375         1        24        18        20         3         8        11   5056777 
      564       375        31        15        12        15        18        14         1   5323020 
      564       375        20         6         6        10        14         3         4   5589263 
      564       375         9        34         0         5        10         9         7   5855506 
      564       375        39        25        23         0         6        15        10   6121749 
      564       375        28        16        17        18         2         4         0   6387992 
      564       375        17         7        11        13        17        10         3   6654235 
      564       375         6        35         5         8        13        16         6   6920478 
      564       375        36        26        28         3         9         5         9   7186721 
      564       375        25        17        22        21         5        11        12   7452964 
      564       375        14         8        16        16         1         0         2   7719207  # hit
      564       375        14         9         2        18         8         8         8  18635170 
      564       375        14        10        17        20        15        16         1  29551133 
      564       375        14        11         3        22         3         7         7  40467096 
      564       375        14        12        18         1        10        15         0  51383059 
      564       375        14        13         4         3        17         6         6  62299022 
      564       375        14        14        19         5         5        14        12  73214985 
      564       375        14        15         5         7        12         5         5  84130948 
      564       375        14        16        20         9         0        13        11  95046911 
      564       375        14        17         6        11         7         4         4  105962874 
      564       375        14        18        21        13        14        12        10  116878837 
      564       375        14        19         7        15         2         3         3  127794800 
      564       375        14        20        22        17         9        11         9  138710763 
      564       375        14        21         8        19        16         2         2  149626726 
      564       375        14        22        23        21         4        10         8  160542689 
      564       375        14        23         9         0        11         1         1  171458652 
      564       375        14        24        24         2        18         9         7  182374615 
      564       375        14        25        10         4         6         0         0  193290578 
      564       375        14        26        25         6        13         8         6  204206541 
      564       375        14        27        11         8         1        16        12  215122504 
      564       375        14        28        26        10         8         7         5  226038467 
      564       375        14        29        12        12        15        15        11  236954430 
      564       375        14        30        27        14         3         6         4  247870393 
      564       375        14        31        13        16        10        14        10  258786356 
      564       375        14        32        28        18        17         5         3  269702319 
      564       375        14        33        14        20         5        13         9  280618282 
      564       375        14        34         0        22        12         4         2  291534245 
      564       375        14        35        15         1         0        12         8  302450208 
      564       375        14        36         1         3         7         3         1  313366171 
      564       375        14         0        16         5        14        11         7  324282134  # hit
      564       375        14         0        20        10         7         1         8  728172765 
      564       375        14         0        24        15         0         8         9  1132063396 
      564       375        14         0        28        20        12        15        10  1535954027 
      564       375        14         0         3         2         5         5        11  1939844658 
      564       375        14         0         7         7        17        12        12  2343735289 
      564       375        14         0        11        12        10         2         0  2747625920 
      564       375        14         0        15        17         3         9         1  3151516551 
      564       375        14         0        19        22        15        16         2  3555407182 
      564       375        14         0        23         4         8         6         3  3959297813 
      564       375        14         0        27         9         1        13         4  4363188444 
      564       375        14         0         2        14        13         3         5  4767079075 
      564       375        14         0         6        19         6        10         6  5170969706 
      564       375        14         0        10         1        18         0         7  5574860337 
      564       375        14         0        14         6        11         7         8  5978750968 
      564       375        14         0        18        11         4        14         9  6382641599 
      564       375        14         0        22        16        16         4        10  6786532230 
      564       375        14         0        26        21         9        11        11  7190422861 
      564       375        14         0         1         3         2         1        12  7594313492 
      564       375        14         0         5         8        14         8         0  7998204123 
      564       375        14         0         9        13         7        15         1  8402094754 
      564       375        14         0        13        18         0         5         2  8805985385 
      564       375        14         0        17         0        12        12         3  9209876016 
      564       375        14         0        21         5         5         2         4  9613766647  # hit
      564       375        14         0        21        12        11         1         7  21326594946 
      564       375        14         0        21        19        17         0        10  33039423245 
      564       375        14         0        21         3         4        16         0  44752251544 
      564       375        14         0        21        10        10        15         3  56465079843 
      564       375        14         0        21        17        16        14         6  68177908142 
      564       375        14         0        21         1         3        13         9  79890736441 
      564       375        14         0        21         8         9        12        12  91603564740 
      564       375        14         0        21        15        15        11         2  103316393039 
      564       375        14         0        21        22         2        10         5  115029221338 
      564       375        14         0        21         6         8         9         8  126742049637 
      564       375        14         0        21        13        14         8        11  138454877936 
      564       375        14         0        21        20         1         7         1  150167706235 
      564       375        14         0        21         4         7         6         4  161880534534 
      564       375        14         0        21        11        13         5         7  173593362833 
      564       375        14         0        21        18         0         4        10  185306191132 
      564       375        14         0        21         2         6         3         0  197019019431 
      564       375        14         0        21         9        12         2         3  208731847730  # hit
      564       375        14         0        21         9        17        13         7  478126898607 
      564       375        14         0        21         9         3         7        11  747521949484 
      564       375        14         0        21         9         8         1         2  1016917000361  # hit
      564       375        14         0        21         9         8         6         0  6135422967024 
      564       375        14         0        21         9         8        11        11  11253928933687 
      564       375        14         0        21         9         8        16         9  16372434900350 
      564       375        14         0        21         9         8         4         7  21490940867013 
      564       375        14         0        21         9         8         9         5  26609446833676 
      564       375        14         0        21         9         8        14         3  31727952800339  # hit
      564       375        14         0        21         9         8        14         8  118742554233610 
      564       375        14         0        21         9         8        14         0  205757155666881 
      564       375        14         0        21         9         8        14         5  292771757100152 
      564       375        14         0        21         9         8        14        10  379786358533423  # hit

x = 379786358533423
